,molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
214,CHEMBL133906,Cc1cccc2nc3c(c(N)c12)CCCC3,active,99.0
215,CHEMBL1204162,Cl.O.c1ccc(CN2CCC(CCN=c3cc4c(n[nH]3)-c3ccccc3C4)CC2)cc1,active,74.0
216,CHEMBL134240,Nc1c2c(nc3ccc(Cl)cc13)OCCC2,intermediate,9810.0
217,CHEMBL132030,Nc1c2c(nc3cccc(F)c13)CCCC2,active,78.0
218,CHEMBL133448,Nc1c2c(nc3ncccc13)CCCC2,active,429.0
219,CHEMBL130880,Nc1c2c(nc3c1CCC3)CCCC2,active,658.0
220,CHEMBL1202874,Cl.Cl.c1ccc(CN2CCC(CCSc3ccc(-c4ccccc4)nn3)CC2)cc1,active,470.0
221,CHEMBL133441,Nc1c2c(nc3ncccc13)OCCC2,intermediate,6262.0
222,CHEMBL130427,Nc1c2c(nc3cnccc13)CCCC2,intermediate,2600.0
223,CHEMBL134154,COc1cccc2nc3c(c(N)c12)CCCO3,active,606.0
224,CHEMBL132260,Nc1c2c(nc3ccccc13)OCCC2,active,266.0
